Day_Count,Day,StoreID,ProductName,specials,Amt,Inflation_Percentage,Unemployment_Percentage
1,Tuesday,S001,Veg Burger,0,13125.0,4.7,1.7
1,Tuesday,S001,Fries,0,11250.0,4.7,1.7
1,Tuesday,S001,Coca-Cola,0,17680.0,4.7,1.7
1,Tuesday,S002,Cheese Burger,0,7800.0,4.7,1.7
1,Tuesday,S002,Fries,0,16275.0,4.7,1.7
1,Tuesday,S002,Chicken Burger,0,8840.0,4.7,1.7
1,Tuesday,S003,Fries,0,14325.0,4.7,1.7
1,Tuesday,S002,Veg Burger,0,18000.0,4.7,1.7
1,Tuesday,S003,Coca-Cola,0,25925.0,4.7,1.7
1,Tuesday,S001,Cheese Burger,0,13600.0,4.7,1.7
1,Tuesday,S002,Coca-Cola,0,26180.0,4.7,1.7
1,Tuesday,S003,Cheese Burger,0,7200.0,4.7,1.7
1,Tuesday,S003,Veg Burger,0,34050.14999999997,4.7,1.7
1,Tuesday,S001,Chicken Burger,0,19040.0,4.7,1.7
1,Tuesday,S003,Chicken Burger,0,7650.0,4.7,1.7
2,Wednesday,S002,Fries,0,11925.0,4.7,1.7
2,Wednesday,S002,Custom,0,0.0,4.7,1.7
2,Wednesday,S001,Cheese Burger,0,10000.0,4.7,1.7
2,Wednesday,S003,Coca-Cola,0,19210.0,4.7,1.7
2,Wednesday,S003,Fries,0,10275.0,4.7,1.7
2,Wednesday,S002,Coca-Cola,0,17340.0,4.7,1.7
2,Wednesday,S003,Cheese Burger,0,5800.0,4.7,1.7
2,Wednesday,S003,Veg Burger,0,34050.14999999997,4.7,1.7
2,Wednesday,S001,Fries,0,8400.0,4.7,1.7
2,Wednesday,S001,Veg Burger,0,9000.0,4.7,1.7
2,Wednesday,S001,Chicken Burger,0,12750.0,4.7,1.7
2,Wednesday,S003,Chicken Burger,0,6120.0,4.7,1.7
2,Wednesday,S001,Coca-Cola,0,12665.0,4.7,1.7
2,Wednesday,S002,Chicken Burger,0,6120.0,4.7,1.7
2,Wednesday,S002,Veg Burger,0,14625.0,4.7,1.7
2,Wednesday,S002,Cheese Burger,0,5400.0,4.7,1.7
3,Thursday,S002,Chicken Burger,0,7140.0,4.7,1.7
3,Thursday,S001,Cheese Burger,0,12200.0,4.7,1.7
3,Thursday,S003,Chicken Burger,0,7310.0,4.7,1.7
3,Thursday,S001,Chicken Burger,0,16830.0,4.7,1.7
3,Thursday,S003,Veg Burger,0,34050.14999999997,4.7,1.7
3,Thursday,S003,Coca-Cola,0,20740.0,4.7,1.7
3,Thursday,S003,Fries,0,13350.0,4.7,1.7
3,Thursday,S003,Cheese Burger,0,6600.0,4.7,1.7
3,Thursday,S002,Veg Burger,0,16375.0,4.7,1.7
3,Thursday,S002,Fries,0,12525.0,4.7,1.7
3,Thursday,S001,Coca-Cola,0,15130.0,4.7,1.7
3,Thursday,S002,Cheese Burger,0,6600.0,4.7,1.7
3,Thursday,S002,Coca-Cola,0,22015.0,4.7,1.7
